date;temperature;luminosity;co2;humidity
2018-01-29T09:00:31.486426;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T09:02:31.577672;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T09:04:31.670521;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T09:06:31.800314;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T09:08:31.854880;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T09:10:31.936468;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T09:12:32.028481;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T09:14:32.163843;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T09:16:32.210504;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T09:18:32.288822;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T09:20:32.392518;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T09:22:32.476195;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T09:24:32.569282;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T09:26:32.648974;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T09:28:32.734922;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T09:30:32.824319;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T09:32:32.918291;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T09:34:33.009952;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T09:36:33.099479;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T09:38:33.188533;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T09:40:33.389170;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T09:42:33.375778;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T09:44:33.541134;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T09:46:33.690568;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T09:48:33.741182;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T09:50:33.816474;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T09:52:33.907932;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T09:54:34.043660;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T09:56:34.141349;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T09:58:34.224882;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T10:00:34.321292;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T10:02:34.402858;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T10:04:34.492514;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T10:06:34.586775;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T10:08:34.672539;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T10:10:34.762191;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T10:12:34.846582;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T10:14:34.943839;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T10:16:35.029905;[18-19.5];[<200];[0-400];[30-37]
