date;temperature;luminosity;co2;humidity
2018-06-04T09:01:32.323537;[23.2-24.5];[400-500];[0-400];[45-55]
2018-06-04T09:03:32.351567;[23.2-24.5];[400-500];[0-400];[45-55]
2018-06-04T09:05:32.381193;[23.2-24.5];[400-500];[0-400];[45-55]
2018-06-04T09:07:32.413775;[23.2-24.5];[400-500];[0-400];[45-55]
2018-06-04T09:09:32.448966;[23.2-24.5];[550-600];[0-400];[45-55]
2018-06-04T09:11:32.518370;[23.2-24.5];[400-500];[0-400];[45-55]
2018-06-04T09:13:32.508116;[23.2-24.5];[400-500];[0-400];[45-55]
2018-06-04T09:15:32.540484;[23.2-24.5];[400-500];[0-400];[45-55]
2018-06-04T09:17:32.568570;[23.2-24.5];[400-500];[0-400];[45-55]
2018-06-04T09:19:32.598553;[23.2-24.5];[400-500];[0-400];[45-55]
2018-06-04T09:21:32.633189;[23.2-24.5];[400-500];[0-400];[45-55]
2018-06-04T09:23:32.666797;[23.2-24.5];[400-500];[0-400];[45-55]
2018-06-04T09:25:32.694823;[23.2-24.5];[550-600];[0-400];[45-55]
2018-06-04T09:27:32.782217;[23.2-24.5];[600-900];[0-400];[45-55]
2018-06-04T09:29:32.815166;[23.2-24.5];[500-550];[0-400];[45-55]
2018-06-04T09:31:32.922459;[23.2-24.5];[550-600];[0-400];[45-55]
2018-06-04T09:33:32.879422;[23.2-24.5];[600-900];[0-400];[45-55]
2018-06-04T09:35:32.951677;[23.2-24.5];[600-900];[0-400];[45-55]
2018-06-04T09:37:32.941995;[23.2-24.5];[600-900];[0-400];[45-55]
2018-06-04T09:39:32.974900;[24.5-26];[550-600];[0-400];[45-55]
2018-06-04T09:41:33.012747;[23.2-24.5];[200-400];[0-400];[45-55]
2018-06-04T09:43:33.045279;[24.5-26];[200-400];[0-400];[45-55]
2018-06-04T09:45:33.077101;[23.2-24.5];[200-400];[0-400];[45-55]
2018-06-04T09:47:33.106122;[24.5-26];[200-400];[0-400];[45-55]
2018-06-04T09:49:33.128823;[24.5-26];[400-500];[0-400];[45-55]
2018-06-04T09:51:33.160163;[23.2-24.5];[400-500];[0-400];[45-55]
