date;temperature;luminosity;co2;humidity
2017-09-11T12:53:14.745366;[20.8-23.2];[600-900];[0-400];[37-42]
2017-09-11T12:55:14.938536;[20.8-23.2];[600-900];[0-400];[42-45]
2017-09-11T12:57:15.100340;[20.8-23.2];[600-900];[0-400];[37-42]
2017-09-11T12:59:15.288539;[20.8-23.2];[900-950];[0-400];[37-42]
2017-09-11T13:01:15.490298;[20.8-23.2];[900-950];[0-400];[37-42]
2017-09-11T13:03:15.643264;[20.8-23.2];[600-900];[0-400];[37-42]
2017-09-11T13:05:15.829588;[20.8-23.2];[600-900];[0-400];[37-42]
2017-09-11T13:07:16.036773;[20.8-23.2];[600-900];[0-400];[37-42]
2017-09-11T13:09:16.247950;[20.8-23.2];[600-900];[0-400];[37-42]
2017-09-11T13:11:16.438432;[20.8-23.2];[600-900];[0-400];[37-42]
2017-09-11T13:13:16.591472;[20.8-23.2];[950-1000];[400-600];[37-42]
2017-09-11T13:15:16.804787;[20.8-23.2];[950-1000];[400-600];[37-42]
2017-09-11T13:17:16.959697;[20.8-23.2];[900-950];[400-600];[37-42]
2017-09-11T13:19:17.157322;[20.8-23.2];[950-1000];[400-600];[37-42]
2017-09-11T13:21:17.361446;[20.8-23.2];[950-1000];[400-600];[37-42]
2017-09-11T13:23:17.558836;[20.8-23.2];[950-1000];[400-600];[37-42]
2017-09-11T13:25:17.774045;[20.8-23.2];[950-1000];[400-600];[37-42]
2017-09-11T13:27:17.967775;[20.8-23.2];[600-900];[400-600];[37-42]
2017-09-11T13:29:18.166013;[23.2-24.5];[600-900];[0-400];[37-42]
2017-09-11T13:31:18.366823;[20.8-23.2];[600-900];[0-400];[37-42]
2017-09-11T13:33:18.562837;[20.8-23.2];[600-900];[0-400];[37-42]
2017-09-11T13:35:18.778389;[23.2-24.5];[500-550];[0-400];[37-42]
2017-09-11T13:37:18.940497;[23.2-24.5];[400-500];[0-400];[37-42]
2017-09-11T13:39:19.171157;[20.8-23.2];[400-500];[0-400];[37-42]
2017-09-11T13:41:19.413099;[20.8-23.2];[550-600];[0-400];[37-42]
2017-09-11T13:43:19.649895;[20.8-23.2];[500-550];[0-400];[37-42]
2017-09-11T13:45:19.882672;[23.2-24.5];[500-550];[0-400];[37-42]
2017-09-11T13:47:20.093676;[23.2-24.5];[500-550];[0-400];[37-42]
2017-09-11T13:49:20.343873;[20.8-23.2];[550-600];[0-400];[37-42]
2017-09-11T13:51:20.592001;[23.2-24.5];[400-500];[0-400];[37-42]
2017-09-11T13:53:20.845122;[23.2-24.5];[400-500];[0-400];[37-42]
