Ancien/Nouveau;[<200];[200-400];[400-500];[500-550];[550-600];[600-900];[900-950];[950-1000];[1000-1100];[1100-1300];[>1300]
[<200];0.97;0.028;0.001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[200-400];0.042;0.879;0.069;0.004;0.004;0.003;0.0;0.0;0.0;0.0;0.0
[400-500];0.004;0.126;0.731;0.094;0.024;0.02;0.0;0.0;0.0;0.0;0.0
[500-550];0.0;0.027;0.214;0.525;0.193;0.041;0.0;0.0;0.0;0.0;0.0
[550-600];0.0;0.019;0.06;0.208;0.474;0.238;0.0;0.0;0.0;0.0;0.0
[600-900];0.0;0.008;0.022;0.032;0.107;0.817;0.011;0.004;0.0;0.0;0.0
[900-950];0.0;0.0;0.0;0.0;0.0;0.727;0.091;0.182;0.0;0.0;0.0
[950-1000];0.0;0.0;0.0;0.0;0.0;0.273;0.182;0.545;0.0;0.0;0.0
[1000-1100];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[1100-1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[>1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
