Ancien/Nouveau;[<200];[200-400];[400-500];[500-550];[550-600];[600-900];[900-950];[950-1000];[1000-1100];[1100-1300];[>1300]
[<200];0.185;0.014;0.001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[200-400];0.015;0.271;0.017;0.003;0.001;0.003;0.0;0.0;0.0;0.0;0.0
[400-500];0.0;0.02;0.115;0.009;0.005;0.003;0.0;0.0;0.0;0.0;0.0
[500-550];0.0;0.001;0.01;0.026;0.01;0.005;0.0;0.0;0.0;0.0;0.0
[550-600];0.001;0.002;0.004;0.009;0.021;0.01;0.0;0.0;0.0;0.0;0.0
[600-900];0.0;0.002;0.004;0.005;0.009;0.102;0.008;0.014;0.0;0.0;0.0
[900-950];0.0;0.0;0.001;0.0;0.0;0.011;0.008;0.004;0.0;0.0;0.0
[950-1000];0.0;0.0;0.0;0.001;0.001;0.011;0.006;0.048;0.0;0.0;0.0
[1000-1100];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[1100-1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[>1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
