Ancien/Nouveau;[<16];[16-17];[17-18];[18-19.5];[19.5-20.8];[20.8-23.2];[23.2-24.5];[24.5-26];[26-27];[27-28] ;[>28]
[<16] / [<200];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[<16] / [200-400];0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[<16] / [400-500];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[<16] / [500-550];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[<16] / [550-600];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[<16] / [600-900];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[<16] / [900-950];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[<16] / [950-1000];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[<16] / [1000-1100];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[<16] / [1100-1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[<16] / [>1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[16-17] / [<200];0.0;0.767677;0.222222;0.010101;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[16-17] / [200-400];0.0125;0.725;0.2625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[16-17] / [400-500];0.0;0.733333;0.266667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[16-17] / [500-550];0.0;0.666667;0.333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[16-17] / [550-600];0.0;0.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[16-17] / [600-900];0.0;0.375;0.625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[16-17] / [900-950];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[16-17] / [950-1000];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[16-17] / [1000-1100];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[16-17] / [1100-1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[16-17] / [>1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[17-18] / [<200];0.0;0.114035;0.846491;0.039474;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[17-18] / [200-400];0.0;0.108108;0.875676;0.016216;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[17-18] / [400-500];0.0;0.013072;0.915033;0.071895;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[17-18] / [500-550];0.0;0.017241;0.948276;0.034483;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[17-18] / [550-600];0.0;0.053571;0.839286;0.107143;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[17-18] / [600-900];0.0;0.036585;0.841463;0.121951;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[17-18] / [900-950];0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[17-18] / [950-1000];0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[17-18] / [1000-1100];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[17-18] / [1100-1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[17-18] / [>1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[18-19.5] / [<200];0.0;0.0;0.022371;0.753915;0.221477;0.002237;0.0;0.0;0.0;0.0;0.0
[18-19.5] / [200-400];0.0;0.0;0.01105;0.845304;0.143646;0.0;0.0;0.0;0.0;0.0;0.0
[18-19.5] / [400-500];0.0;0.0;0.113924;0.670886;0.21519;0.0;0.0;0.0;0.0;0.0;0.0
[18-19.5] / [500-550];0.0;0.0;0.206897;0.655172;0.137931;0.0;0.0;0.0;0.0;0.0;0.0
[18-19.5] / [550-600];0.0;0.0;0.153846;0.74359;0.102564;0.0;0.0;0.0;0.0;0.0;0.0
[18-19.5] / [600-900];0.0;0.0;0.058333;0.725;0.216667;0.0;0.0;0.0;0.0;0.0;0.0
[18-19.5] / [900-950];0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[18-19.5] / [950-1000];0.0;0.0;0.333333;0.666667;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[18-19.5] / [1000-1100];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[18-19.5] / [1100-1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[18-19.5] / [>1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[19.5-20.8] / [<200];0.0;0.0;0.000896;0.08871;0.873656;0.036738;0.0;0.0;0.0;0.0;0.0
[19.5-20.8] / [200-400];0.0;0.0;0.0;0.049587;0.863636;0.086777;0.0;0.0;0.0;0.0;0.0
[19.5-20.8] / [400-500];0.0;0.0;0.0;0.09375;0.74375;0.1625;0.0;0.0;0.0;0.0;0.0
[19.5-20.8] / [500-550];0.0;0.0;0.0;0.125;0.65;0.225;0.0;0.0;0.0;0.0;0.0
[19.5-20.8] / [550-600];0.0;0.0;0.0;0.075472;0.754717;0.169811;0.0;0.0;0.0;0.0;0.0
[19.5-20.8] / [600-900];0.0;0.0;0.0;0.188406;0.688406;0.123188;0.0;0.0;0.0;0.0;0.0
[19.5-20.8] / [900-950];0.0;0.0;0.0;0.0;0.666667;0.333333;0.0;0.0;0.0;0.0;0.0
[19.5-20.8] / [950-1000];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[19.5-20.8] / [1000-1100];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[19.5-20.8] / [1100-1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[19.5-20.8] / [>1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[20.8-23.2] / [<200];0.0;0.0;0.001309;0.001309;0.061518;0.920157;0.015707;0.0;0.0;0.0;0.0
[20.8-23.2] / [200-400];0.0;0.0;0.0;0.0;0.047619;0.93895;0.013431;0.0;0.0;0.0;0.0
[20.8-23.2] / [400-500];0.0;0.0;0.0;0.0;0.051383;0.936759;0.011858;0.0;0.0;0.0;0.0
[20.8-23.2] / [500-550];0.0;0.0;0.0;0.0;0.030534;0.965649;0.003817;0.0;0.0;0.0;0.0
[20.8-23.2] / [550-600];0.0;0.0;0.0;0.0;0.027624;0.955801;0.016575;0.0;0.0;0.0;0.0
[20.8-23.2] / [600-900];0.0;0.0;0.0;0.0;0.054598;0.91092;0.034483;0.0;0.0;0.0;0.0
[20.8-23.2] / [900-950];0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
[20.8-23.2] / [950-1000];0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
[20.8-23.2] / [1000-1100];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[20.8-23.2] / [1100-1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[20.8-23.2] / [>1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[23.2-24.5] / [<200];0.0;0.0;0.0;0.0;0.0;0.571429;0.428571;0.0;0.0;0.0;0.0
[23.2-24.5] / [200-400];0.0;0.0;0.0;0.0;0.0;0.157143;0.842857;0.0;0.0;0.0;0.0
[23.2-24.5] / [400-500];0.0;0.0;0.0;0.0;0.0;0.159091;0.840909;0.0;0.0;0.0;0.0
[23.2-24.5] / [500-550];0.0;0.0;0.0;0.0;0.0;0.0;0.954545;0.045455;0.0;0.0;0.0
[23.2-24.5] / [550-600];0.0;0.0;0.0;0.0;0.0;0.2;0.68;0.12;0.0;0.0;0.0
[23.2-24.5] / [600-900];0.0;0.0;0.0;0.0;0.0;0.212766;0.723404;0.06383;0.0;0.0;0.0
[23.2-24.5] / [900-950];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[23.2-24.5] / [950-1000];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[23.2-24.5] / [1000-1100];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[23.2-24.5] / [1100-1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[23.2-24.5] / [>1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[24.5-26] / [<200];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[24.5-26] / [200-400];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[24.5-26] / [400-500];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[24.5-26] / [500-550];0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
[24.5-26] / [550-600];0.0;0.0;0.0;0.0;0.0;0.0;0.111111;0.888889;0.0;0.0;0.0
[24.5-26] / [600-900];0.0;0.0;0.0;0.0;0.0;0.0;0.294118;0.705882;0.0;0.0;0.0
[24.5-26] / [900-950];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[24.5-26] / [950-1000];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[24.5-26] / [1000-1100];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
